filename,class,split,source_name,session_group,source_page_url,notes
uniform_finish/uniform_001.jpg,uniform_finish,train,roboflow:hashtee/paint_defect,ses_uniform_001,https://universe.roboflow.com/hashtee/paint_defect/images/0PN37MK7dKWqOKb8QtDA,"even beige coating, cornice; wall fills frame"
uniform_finish/uniform_002.jpg,uniform_finish,train,"openverse:flickr (CC BY 2.0, individually verified)",ses_uniform_002,https://www.flickr.com/photos/9822107@N08/2510895117,even white stucco; fills frame (white/light pick)
uniform_finish/uniform_003.jpg,uniform_finish,train,"openverse:flickr (CC BY 2.0, individually verified)",ses_uniform_003,https://www.flickr.com/photos/9822107@N08/4885278999,even red painted brick; fills frame (colored pick)
uniform_finish/uniform_004.jpg,uniform_finish,train,wikimedia:Category:white_walls,ses_uniform_004,https://commons.wikimedia.org/?curid=163533357,uniform white stucco texture close-up
uniform_finish/uniform_005.jpg,uniform_finish,val,wikimedia:Category:white_walls,ses_uniform_005,https://commons.wikimedia.org/?curid=170705338,uniform gray stucco texture close-up
uniform_finish/uniform_006.jpg,uniform_finish,train,wikimedia:Category:white_walls,ses_uniform_006,https://commons.wikimedia.org/?curid=29969294,even gray wall; small wall fixture only
uniform_finish/uniform_007.jpg,uniform_finish,train,wikimedia:Category:white_walls,ses_uniform_007,https://commons.wikimedia.org/?curid=102568541,even white wall fills frame; small wall sign top-left
uniform_finish/uniform_008.jpg,uniform_finish,train,wikimedia:Category:painted_walls,ses_uniform_008,https://commons.wikimedia.org/?curid=79681754,"bare white room, even coating; small high windows"
uniform_finish/uniform_009.jpg,uniform_finish,train,wikimedia:Category:painted_walls,ses_uniform_009,https://commons.wikimedia.org/?curid=112525522,even terracotta paint; wall pipes are minor fixtures
uniform_finish/uniform_010.jpg,uniform_finish,test,wikimedia:Category:white_walls,ses_uniform_010,https://commons.wikimedia.org/?curid=20394029,even pale-yellow corridor walls; no people/furniture
patchy_undercoverage/patchy_001.jpg,patchy_undercoverage,train,roboflow:chew-poh-yee/internal-wall-finishing-defects,ses_patchy_001,https://universe.roboflow.com/chew-poh-yee/internal-wall-finishing-defects/images/05CJ3KGrFYMkNBZ3TH3H,pinholes + vertical run; irregular coating density
patchy_undercoverage/patchy_002.jpg,patchy_undercoverage,train,roboflow:chew-poh-yee/internal-wall-finishing-defects,ses_patchy_002,https://universe.roboflow.com/chew-poh-yee/internal-wall-finishing-defects/images/05MtSjYchbm92dRfM8cH,rough and patchy plaster; incomplete finish
patchy_undercoverage/patchy_003.jpg,patchy_undercoverage,train,roboflow:chew-poh-yee/internal-wall-finishing-defects,ses_patchy_003,https://universe.roboflow.com/chew-poh-yee/internal-wall-finishing-defects/images/05SbQjpAcmH6x6HlfpNN,dense pinhole cluster + streaks on white wall
patchy_undercoverage/patchy_004.jpg,patchy_undercoverage,val,roboflow:chew-poh-yee/internal-wall-finishing-defects,ses_patchy_004,https://universe.roboflow.com/chew-poh-yee/internal-wall-finishing-defects/images/06fbL7tCr9acGGLqqIX3,sparse pinholes; dhash-distinct from patchy_003
patchy_undercoverage/patchy_005.jpg,patchy_undercoverage,train,roboflow:chew-poh-yee/internal-wall-finishing-defects,ses_patchy_005,https://universe.roboflow.com/chew-poh-yee/internal-wall-finishing-defects/images/08DSdUSV43C4SF1uWd2Q,trowel marks on gray wall; rough finish
patchy_undercoverage/patchy_006.jpg,patchy_undercoverage,train,roboflow:chew-poh-yee/internal-wall-finishing-defects,ses_patchy_006,https://universe.roboflow.com/chew-poh-yee/internal-wall-finishing-defects/images/08TaYWQwKXvq6m9pgvuR,rough and patchy white coating
patchy_undercoverage/patchy_007.jpg,patchy_undercoverage,train,roboflow:chew-poh-yee/internal-wall-finishing-defects,ses_patchy_007,https://universe.roboflow.com/chew-poh-yee/internal-wall-finishing-defects/images/08weQ0IIRtHG8OWFgdLS,trowel texture on peach wall
patchy_undercoverage/patchy_008.jpg,patchy_undercoverage,test,roboflow:hashtee/paint_defect,ses_patchy_008,https://universe.roboflow.com/hashtee/paint_defect/images/0iDn9A9uv1SH11ceUB2u,"patchy discoloration, inconsistent opacity"
patchy_undercoverage/patchy_009.jpg,patchy_undercoverage,train,roboflow:hashtee/paint_defect,ses_patchy_009,https://universe.roboflow.com/hashtee/paint_defect/images/1ZJgHPvNJIsxPlSWPkZU,"peeling spots, previous layer showing through"
patchy_undercoverage/patchy_010.jpg,patchy_undercoverage,val,roboflow:hashtee/paint_defect,ses_patchy_010,https://universe.roboflow.com/hashtee/paint_defect/images/3h65tZ7kS6KFaS6mTlmS,patchy stains; small vent only clutter
patchy_undercoverage/patchy_011.jpg,patchy_undercoverage,train,wikimedia:Category:peeling,ses_patchy_011,https://commons.wikimedia.org/?curid=172306707,peeling paint on boards; previous layer showing
patchy_undercoverage/patchy_012.jpg,patchy_undercoverage,train,wikimedia:Category:peeling,ses_patchy_012,https://commons.wikimedia.org/?curid=163508981,peeling green paint close-up; irregular coverage
patchy_undercoverage/patchy_013.jpg,patchy_undercoverage,train,wikimedia:Category:peeling,ses_patchy_013,https://commons.wikimedia.org/?curid=40606307,peeling striped paint close-up
patchy_undercoverage/patchy_014.jpg,patchy_undercoverage,train,wikimedia:Category:peeling,ses_patchy_014,https://commons.wikimedia.org/?curid=63706345,blue alligatoring/crackle; severe uneven coating
patchy_undercoverage/patchy_015.jpg,patchy_undercoverage,test,wikimedia:Category:white_walls,ses_patchy_015,https://commons.wikimedia.org/?curid=84026879,peeling/damaged indoor wall; irregular coating
drip_sag_overwet/drip_001.jpg,drip_sag_overwet,train,roboflow:chew-poh-yee/internal-wall-finishing-defects,ses_drip_001,https://universe.roboflow.com/chew-poh-yee/internal-wall-finishing-defects/images/01jP5a96Z1Q6VIpT3TNf,glossy brown wall with vertical drip/run
drip_sag_overwet/drip_002.jpg,drip_sag_overwet,val,roboflow:hashtee/paint_defect,ses_hashtee_sagwall,https://universe.roboflow.com/hashtee/paint_defect/images/3kh1bqqKh9pnP4IFcX1D,sagging/blistered ridge on white wall edge
drip_sag_overwet/drip_003.jpg,drip_sag_overwet,val,roboflow:hashtee/paint_defect,ses_hashtee_sagwall,https://universe.roboflow.com/hashtee/paint_defect/images/5AzS9HV0aWKroOsp3HHd,"sagging coating, same session as drip_002, different crop"
drip_sag_overwet/drip_004.jpg,drip_sag_overwet,train,wikimedia:Category:paint_rollers,ses_drip_004,https://commons.wikimedia.org/?curid=25192480,fresh glossy red coating on brick + roller; heavy wet look
drip_sag_overwet/drip_005.jpg,drip_sag_overwet,train,wikimedia:Category:paint_rollers,ses_drip_005,https://commons.wikimedia.org/?curid=159722856,roller laying glossy wet edge; visible heavy wet coating
drip_sag_overwet/drip_006.jpg,drip_sag_overwet,test,roboflow:chew-poh-yee/internal-wall-finishing-defects,ses_drip_006,https://universe.roboflow.com/chew-poh-yee/internal-wall-finishing-defects,pink paint drips with droplets on wall; fills frame
wet_reflective_hard_negative/wetneg_001.jpg,wet_reflective_hard_negative,train,wikimedia:Category:wet_surf,ses_wetneg_001,https://commons.wikimedia.org/?curid=57212014,water-bead texture on dark surface; NOT paint
wet_reflective_hard_negative/wetneg_002.jpg,wet_reflective_hard_negative,train,"openverse:flickr (CC BY 2.0, individually verified)",ses_wetneg_002,https://www.flickr.com/photos/16167252@N00/27840234,glossy tiled shower wall; domain-matched wet negative
wet_reflective_hard_negative/wetneg_003.jpg,wet_reflective_hard_negative,train,wikimedia:Category:wet_surf,ses_wetneg_003,https://commons.wikimedia.org/?curid=87053193,droplet macro; glossy non-paint surface
wet_reflective_hard_negative/wetneg_004.jpg,wet_reflective_hard_negative,val,wikimedia:Category:wet_surf,ses_wetneg_004,https://commons.wikimedia.org/?curid=179565471,water rivulets on dark surface; NOT paint
